month,type,Value,mode,Direction,pyr_Value
Apr,Ped_south,224.15,Pedestrian,Southbound,-224.15
Apr,Ped_north,206.425,Pedestrian,Northbound,206.425
Apr,Bike_south,597.5666666666667,Bike,Southbound,-597.5666666666667
Apr,Bike_north,628.725,Bike,Northbound,628.725
Aug,Ped_south,240.3360655737705,Pedestrian,Southbound,-240.3360655737705
Aug,Ped_north,219.84426229508196,Pedestrian,Northbound,219.84426229508196
Aug,Bike_south,800.2131147540983,Bike,Southbound,-800.2131147540983
Aug,Bike_north,902.7459016393443,Bike,Northbound,902.7459016393443
Dec,Ped_south,104.79838709677419,Pedestrian,Southbound,-104.79838709677419
Dec,Ped_north,109.1774193548387,Pedestrian,Northbound,109.1774193548387
Dec,Bike_south,168.05645161290323,Bike,Southbound,-168.05645161290323
Dec,Bike_north,174.45967741935485,Bike,Northbound,174.45967741935485
Feb,Ped_south,150.76106194690266,Pedestrian,Southbound,-150.76106194690266
Feb,Ped_north,153.64601769911505,Pedestrian,Northbound,153.64601769911505
Feb,Bike_south,283.6371681415929,Bike,Southbound,-283.6371681415929
Feb,Bike_north,294.0973451327434,Bike,Northbound,294.0973451327434
Jan,Ped_south,142.79032258064515,Pedestrian,Southbound,-142.79032258064515
Jan,Ped_north,146.53225806451613,Pedestrian,Northbound,146.53225806451613
Jan,Bike_south,262.1209677419355,Bike,Southbound,-262.1209677419355
Jan,Bike_north,267.6532258064516,Bike,Northbound,267.6532258064516
Jul,Ped_south,265.6666666666667,Pedestrian,Southbound,-265.6666666666667
Jul,Ped_north,235.45528455284554,Pedestrian,Northbound,235.45528455284554
Jul,Bike_south,924.1951219512196,Bike,Southbound,-924.1951219512196
Jul,Bike_north,979.3821138211382,Bike,Northbound,979.3821138211382
Jun,Ped_south,303.6923076923077,Pedestrian,Southbound,-303.6923076923077
Jun,Ped_north,257.65811965811963,Pedestrian,Northbound,257.65811965811963
Jun,Bike_south,854.5897435897435,Bike,Southbound,-854.5897435897435
Jun,Bike_north,905.4615384615385,Bike,Northbound,905.4615384615385
Mar,Ped_south,172.18548387096774,Pedestrian,Southbound,-172.18548387096774
Mar,Ped_north,172.9516129032258,Pedestrian,Northbound,172.9516129032258
Mar,Bike_south,379.5,Bike,Southbound,-379.5
Mar,Bike_north,398.55645161290323,Bike,Northbound,398.55645161290323
May,Ped_south,265.37704918032784,Pedestrian,Southbound,-265.37704918032784
May,Ped_north,213.72131147540983,Pedestrian,Northbound,213.72131147540983
May,Bike_south,873.827868852459,Bike,Southbound,-873.827868852459
May,Bike_north,802.2459016393443,Bike,Northbound,802.2459016393443
Nov,Ped_south,226.6239316239316,Pedestrian,Southbound,-226.6239316239316
Nov,Ped_north,128.47863247863248,Pedestrian,Northbound,128.47863247863248
Nov,Bike_south,228.83760683760684,Bike,Southbound,-228.83760683760684
Nov,Bike_north,237.26495726495727,Bike,Northbound,237.26495726495727
Oct,Ped_south,171.44166666666666,Pedestrian,Southbound,-171.44166666666666
Oct,Ped_north,162.79166666666666,Pedestrian,Northbound,162.79166666666666
Oct,Bike_south,399.8,Bike,Southbound,-399.8
Oct,Bike_north,417.1166666666667,Bike,Northbound,417.1166666666667
Sep,Ped_south,214.83620689655172,Pedestrian,Southbound,-214.83620689655172
Sep,Ped_north,188.61206896551724,Pedestrian,Northbound,188.61206896551724
Sep,Bike_south,613.6465517241379,Bike,Southbound,-613.6465517241379
Sep,Bike_north,641.2758620689655,Bike,Northbound,641.2758620689655
